Disease,Symptom
C0020538,C0008031
C0020538,C0392680
C0020538,C0012833
C0020538,C0004093
C0020538,C0085639
C0020538,C0039070
C0020538,C0042571
C0020538,C0038990
C0020538,C0030252
C0020538,C0027497
C0020538,C0002962
C0020538,C0438716
C0011847,C0032617
C0011847,C0085602
C0011847,C0392680
C0011847,C0008031
C0011847,C0004093
C0011847,C0027497
C0011847,C0085619
C0011847,C0034642
C0011847,C0038990
C0011847,C0241526
C0011847,C0856054
C0011847,C0042571
C0011847,C0042963
C0011847,C0553668
C0011570,C0424000
C0011570,C0438696
C0011570,C0233762
C0011570,C0150041
C0011570,C0424109
C0011570,C0917801
C0011570,C0424230
C0011570,C0022107
C0011570,C0312422
C0011570,C0344315
C0011570,C0233763
C0011570,C0233481
C0011570,C0085631
C0011570,C0040822
C0011570,C0728899
C0011570,C0424068
C0011570,C0455769
C0011570,C1299586
C0011570,C0028084
C0011570,C0235198
C0011570,C0237154
C0010054,C0008031
C0010054,C0002962
C0010054,C0392680
C0010054,C0086439
C0010054,C0038990
C0010054,C0438716
C0010054,C0231807
C0010054,C0085619
C0010054,C0232292
C0032285,C0010200
C0032285,C0015967
C0032285,C0029053
C0032285,C0392680
C0032285,C0034642
C0032285,C0239134
C0032285,C0008033
C0032285,C0457096
C0032285,C0238844
C0032285,C0085593
C0032285,C0035508
C0032285,C0457097
C0032285,C0850149
C0032285,C0043144
C0032285,C0019079
C0032285,C0476273
C0032285,C0231835
C0032285,C0231218
C0032285,C0028081
C0018802,C0392680
C0018802,C0085619
C0018802,C0240100
C0018802,C0034642
C0018802,C0013404
C0018802,C0010200
C0018802,C0043144
C0038454,C0013362
C0038454,C0004093
C0038454,C0234518
C0038454,C0427055
C0038454,C0018991
C0038454,C0241526
C0038454,C0036572
C0038454,C0028643
C0004096,C0043144
C0004096,C0010200
C0004096,C0392680
C0004096,C0232292
C0004096,C0850149
C0004096,C0008033
C0004096,C0239134
C0004096,C0436331
C0004096,C0476273
C0027051,C0008031
C0027051,C0520886
C0027051,C0038990
C0027051,C0392680
C0027051,C0520887
C0027051,C0086439
C0027051,C0002962
C0027051,C0438716
C0027051,C0520888
C0027051,C0085619
C0027051,C0034642
C0027051,C0232292
C0027051,C1305739
C0027051,C0030252
C0027051,C0013404
C0027051,C0235710
C0027051,C0428977
C0027051,C0039070
C0020443,C0030193
C0020443,C0008031
