,Key,Values
0,C0152032,0
1,C0020443,1
2,C0149651,2
3,C0008031,3
4,C0015967,4
5,C0038002,5
6,C0013604,6
7,C0085639,7
8,C0392680,8
9,C0043096,9
10,C0205400,10
11,C0234215,11
12,C1291077,12
13,C0694547,13
14,C0023380,14
15,C0003962,15
16,C0028081,16
17,C1565489,17
18,C0012833,18
19,C0034079,19
20,C0013491,20
21,C0002170,21
22,C0040034,22
23,C0547030,23
24,C0239110,24
25,C0476273,25
26,C0039239,26
27,C0019080,27
28,C0233763,28
29,C0026266,29
30,C0029053,30
31,C0424109,31
32,C0019054,32
33,C0013404,33
34,C1299586,34
35,C0038238,35
36,C0557075,36
37,C0034642,37
38,C0232766,38
39,C0020672,39
40,C0003467,40
41,C0033687,41
42,C0035455,42
43,C0457096,43
44,C0030554,44
45,C0038218,45
46,C0013144,46
47,C0744492,47
48,C0018991,48
49,C0233070,49
50,C0019209,50
51,C0085624,51
52,C0010200,52
53,C0015672,53
54,C0001824,54
55,C0085593,55
56,C0578150,56
57,C0025222,57
58,C0241526,58
59,C0011991,59
60,C0040822,60
61,C0271202,61
62,C0014544,62
63,C0023212,63
64,C0917801,64
65,C0231807,65
66,C0018681,66
67,C0014591,67
68,C0233762,68
69,C0034880,69
70,C0033774,70
71,C0009443,71
72,C0232257,72
73,C0233481,73
74,C0027497,74
75,C0029456,75
76,C0042963,76
77,C1260880,77
78,C0002453,78
79,C0235146,79
80,C0231528,80
81,C0026946,81
82,C0149696,82
83,C0541992,83
84,C0240100,84
85,C0018834,85
86,C0920063,86
87,C0312422,87
88,C0033860,88
89,C0002871,89
90,C0036572,90
91,C0024523,91
92,C0030193,92
93,C0438716,93
94,C0035508,94
95,C2363736,95
96,C0027769,96
97,C0028084,97
98,C0239301,98
99,C0030353,99
100,C0332601,100
101,C0009676,101
102,C0034063,102
103,C0010520,103
104,C0008033,104
105,C0424605,105
106,C0038990,106
107,C0852415,107
108,C0577559,108
109,C0036454,109
110,C0002962,110
111,C0019079,111
112,C0020538,112
113,C0023518,113
114,C0234222,114
115,C0004093,115
116,C0030252,116
117,C0000737,117
118,C0030232,118
119,C0235129,119
120,C0015230,120
121,C0277794,121
122,C0424000,122
123,C0039070,123
124,C0041657,124
125,C0234979,125
126,C0235499,126
127,C0013362,127
128,C0236171,128
129,C0239134,129
130,C0549483,130
131,C0277797,131
132,C0149758,132
133,C0234233,133
134,C0497156,134
135,C0019825,135
136,C0000731,136
137,C0009806,137
138,C0027059,138
139,C0003862,139
140,C0020649,140
141,C0242453,141
142,C0850149,142
143,C0237154,143
144,C0344315,144
145,C0231221,145
146,C0003123,146
147,C0086439,147
148,C0232498,148
149,C0031039,149
150,C0006625,150
151,C0020458,151
152,C0162323,152
153,C1269955,153
154,C0232517,154
155,C0038363,155
156,C0242429,156
157,C0340464,157
158,C0003864,158
159,C0424230,159
160,C0700292,160
161,C0022073,161
162,C0871754,162
163,C0014743,163
164,C0020437,164
165,C0004134,165
166,C0029124,166
167,C0085632,167
168,C0032617,168
169,C0023530,169
170,C0436331,170
171,C0233647,171
172,C0241158,172
173,C0028734,173
174,C0235704,174
175,C0742985,175
176,C0748706,176
177,C0040264,177
178,C0013428,178
179,C0011168,179
180,C0728899,180
181,C0020440,181
182,C0751466,182
183,C0542247,183
184,C0038454,184
185,C0018944,185
186,C1096646,186
187,C0038999,187
188,C0018418,188
189,C0002878,189
190,C0027498,190
191,C0007859,191
192,C2609241,192
193,C0040425,193
194,C1513183,194
195,C0271276,195
196,C0438696,196
197,C0016579,197
198,C0031256,198
199,C0031350,199
200,C0085619,200
201,C0003537,201
202,C0424295,202
203,C0848168,203
204,C0232118,204
205,C0847488,205
206,C0264576,206
207,C0231835,207
208,C0232854,208
209,C3714614,209
210,C0022107,210
211,C0014034,211
212,C0241235,212
213,C0424092,213
214,C0152025,214
215,C0600142,215
216,C0232488,216
217,C0042384,217
218,C0151827,218
219,C0231890,219
220,C0151908,220
221,C0020303,221
222,C0236018,222
223,C0239571,223
224,C0031157,224
225,C0702118,225
226,C0020580,226
227,C0085631,227
228,C0428977,228
229,C0014394,229
230,C0221151,230
231,C0031046,231
232,C0238844,232
233,C0456909,233
234,C0856054,234
235,C0028643,235
236,C0018524,236
237,C0425251,237
238,C0392701,238
239,C0020625,239
240,C0013990,240
