Disease,Symptom
C0162565,C0039239
C0162565,C0000737
C0162565,C0235704
C0162565,C0030554
C0162565,C0030552
C0162565,C0020538
C0162566,C0020555
C0162566,C0005758
C0004238,C0030252
C0004238,C1868917
C0004238,C0392684
C0004238,C0012833
C0004238,C0003467
C0004238,C0857217
C0004238,C0013404
C0004238,C0003467
C0004238,C0032617
C0004238,C0030252
C0004238,C0012833
C0004238,C0039070
C0023212,C0013404
C0023212,C0231807
C0023212,C0085619
C0023212,C0231835
C0023212,C0231912
C0023212,C1956414
C0023212,C0010520
C0023212,C0034063
C0023212,C0032227
C0023212,C0034063
C0023212,C1695782
C0023212,C0920048
C0023212,C0009676
C0023212,C3714552
C0023212,C0015672
C0235527,C0235886
C0235527,C0156195
C0235527,C0019209
C0235527,C0022346
C0235527,C0003962
C0235527,C0027497
C0235527,C0003123
C0018801,C0015672
C0018801,C0028734
C0018801,C0039239
C0018801,C0242073
C0018801,C0013404
C0018801,C0013404
C0018801,C0231835
C0018801,C0085619
C0018801,C1956414
C0018801,C0231912
C0018801,C0034063
C0018801,C0010520
C0018801,C0015672
C0018801,C3714552
C0018801,C0013604
C0018801,C0002871
C0018801,C0003123
C0018801,C1291077
C0018801,C0006625
C0018801,C0033687
C0018801,C0028734
C0018801,C0039239
C0018801,C0018800
C0018801,C0032227
C0007194,C0015672
C0007194,C0030252
C0007194,C0012833
C0007194,C0013404
C0007194,C0002962
C0007196,C0018801
C0007196,C0013404
C0007196,C0039239
C0007196,C0013604
C0007196,C0267821
C0007193,C0030252
C0007193,C0231807
C0007193,C0242073
C0007193,C0034063
C0007193,C0013404
C0007193,C0235532
C0007193,C0026266
C0024790,C1142277
C0024790,C0018681
C0024790,C0020538
C0024790,C0030312
C0024790,C0019080
C0024790,C0002871
C0024790,C0019054
C0024790,C0010828
C0024790,C0018965
C0024790,C0398623
C0024790,C0013404
C0024790,C0002871
C0024790,C0019054
C0024790,C0008031
C0024790,C0027497
C0024790,C0011168
C0024790,C0242350
C0024790,C0004604
C0024790,C0018681
C0024790,C0231528
C0037889,C0002871
C0037889,C0030232
C0037889,C0013404
C0037889,C0039239
C0037889,C0022346
C0037889,C0038002
C0037889,C0947622
C0037889,C0741494
C0037889,C0008350
C1268964,C0002871
C1268964,C3714552
C1268964,C0518656
C1268964,C0030232
C1268964,C0023530
C1268964,C0040034
C1268964,C0031256
C1268964,C0019214
C0947845,C0015967
C0947845,C0015672
C0947845,C0003123
C0947845,C2363736
C0947845,C0013404
C0947845,C0010200
C0947845,C0162323
C0340164,C0015967
C0340164,C0162323
C0340164,C0014743
C0340164,C0456973
C0042171,C0015967
C0042171,C0030583
C0042171,C0042164
C0042171,C0022073
C0042171,C0376175
C0947845,C0859870
C0947845,C0231807
C0947845,C0022073
C0947845,C0014743
C0947845,C0497156
C0947845,C0025309
C0947845,C0547030
C0947845,C0030353
C0947845,C0020255
C0947845,C0018801
C0947845,C0031039
C0947845,C0553702
C0947845,C0034069
C0085278,C0000786
C0085278,C0857794
C0085278,C0149793
C0034155,C0015672
C0034155,C0015967
C0034155,C0040034
C0034155,C0031256
C0034155,C0022660
C0034155,C0003460
C0034155,C0028961
C0034155,C0020538
C0034155,C0019054
C0034155,C0015967
C0034155,C0009676
C0034155,C0036572
C0034155,C1565489
C0034155,C0040034
C0034155,C0221021
C0034155,C0019054
C0020532,C0030312
C0020532,C0002878
C0020532,C0030232
C0020532,C0015672
C0020532,C0023530
C0020532,C0040034
C0020532,C0031256
C0032227,C1260922
C0034063,C0035508
C0034063,C0013404
C0034063,C0010200
C0034063,C0035508
C0034063,C0039239
C0034063,C0010520
C0034063,C3887611
C0032326,C0743323
C0032326,C0010200
C0032326,C0030193
C0032326,C0030193
C0032326,C0013404
C0032326,C0231835
C0877430,C0043144
C0877430,C0239324
C0877430,C0850149
C0877430,C0010201
C0877430,C0013404
C0877430,C0010200
C0877430,C0239324
C0877430,C0039239
C0877430,C0232118
C0877430,C0043144
C0877430,C0014457
C0877430,C0039239
C0877430,C0085615
C0024117,C0010201
C0024117,C0043144
C0024117,C0239324
C0032285,C0015967
C0032285,C0013404
C0032285,C0035508
C0034067,C0013990
C0034067,C0028778
C0034067,C0034072
C0034067,C0013404
C0034067,C0010520
C0034069,C0013404
C0034069,C0009080
C0034069,C0231807
C0034069,C0231835
C0034069,C0015967
C0034069,C0859870
C0034065,C0743323
C0034065,C0039239
C0034065,C0013404
C0034065,C0008031
C0034065,C0003467
C0034065,C0036974
C0034065,C0039070
C0034065,C0231835
C0034065,C0039239
C0034065,C0010520
C0034065,C0010200
C0034065,C0012833
C0034065,C0231835
C0034065,C0013404
C0034065,C0008031
C0034065,C0010200
C0034065,C0015967
C0034065,C0039239
C0034065,C0020649
C0149514,C0035455
C0149514,C0023067
C0149514,C0031350
C0149514,C0010200
C0149514,C0015967
C0149514,C0015672
C0149514,C0018681
C0149514,C0010200
C0149514,C0015967
C0149514,C0018681
C0149514,C0231528
C0006271,C0015967
C0006271,C0231835
C0006271,C0010520
C0006271,C0239324
C0006271,C0010200
C0343528,C0009443
C0343528,C0010200
C0343528,C0242429
