Disease_UMLS,Disease_CUI,Symptom,Symptom_CUI
"porphyrie , akute intermittierende",C0162565,sinustachykardie,C0039239
"porphyrie , akute intermittierende",C0162565,abdominalschmerzen,C0000737
"porphyrie , akute intermittierende",C0162565,adynamie,C0235704
"porphyrie , akute intermittierende",C0162565,paraesthesie,C0030554
"porphyrie , akute intermittierende",C0162565,parese,C0030552
"porphyrie , akute intermittierende",C0162565,hypertonie,C0020538
porphyria cutanea tarda,C0162566,hypertrichose,C0020555
porphyria cutanea tarda,C0162566,Blasenbildung,C0005758
vorhofflimmern,C0004238,palpitationen,C0030252
vorhofflimmern,C0004238,herzrasen,C1868917
vorhofflimmern,C0004238,unregelmaessiger puls,C0392684
vorhofflimmern,C0004238,schwindel,C0012833
vorhofflimmern,C0004238,angst,C0003467
vorhofflimmern,C0004238,unruhe innere,C0857217
vorhofflimmern,C0004238,dyspnoe,C0013404
vorhofflimmern,C0004238,angst,C0003467
vorhofflimmern,C0004238,polyurie,C0032617
vorhofflimmern,C0004238,palpitationen,C0030252
vorhofflimmern,C0004238,schwindelgefuehl,C0012833
vorhofflimmern,C0004238,synkope,C0039070
linksherzinsuffizienz,C0023212,dyspnoe,C0013404
linksherzinsuffizienz,C0023212,belastungsdyspnoe,C0231807
linksherzinsuffizienz,C0023212,orthopnoe,C0085619
linksherzinsuffizienz,C0023212,tachypnoe,C0231835
linksherzinsuffizienz,C0023212,naechtlicher husten,C0231912
linksherzinsuffizienz,C0023212,asthma cardiale,C1956414
linksherzinsuffizienz,C0023212,zyanose,C0010520
linksherzinsuffizienz,C0023212,lungenoedem,C0034063
linksherzinsuffizienz,C0023212,pleuraerguss,C0032227
linksherzinsuffizienz,C0023212,lungenoedem,C0034063
linksherzinsuffizienz,C0023212,zerebrale hypoperfusion,C1695782
linksherzinsuffizienz,C0023212,verminderte vigilanz,C0920048
linksherzinsuffizienz,C0023212,verwirrtheit,C0009676
linksherzinsuffizienz,C0023212,schwaechegefuehl,C3714552
linksherzinsuffizienz,C0023212,abgeschlagenheit,C0015672
rechtsherzinsuffizienz,C0235527,Beinoedem,C0235886
rechtsherzinsuffizienz,C0235527,chronische stauungsleber,C0156195
rechtsherzinsuffizienz,C0235527,hepatomegalie,C0019209
rechtsherzinsuffizienz,C0235527,ikterus,C0022346
rechtsherzinsuffizienz,C0235527,aszites,C0003962
rechtsherzinsuffizienz,C0235527,uebelkeit,C0027497
rechtsherzinsuffizienz,C0235527,appetitlosigkeit,C0003123
herzinsuffizienz,C0018801,abgeschlagenheit,C0015672
herzinsuffizienz,C0018801,nykturie,C0028734
herzinsuffizienz,C0018801,sinustachykardie,C0039239
herzinsuffizienz,C0018801,lungenstauung,C0242073
herzinsuffizienz,C0018801,dyspnoe,C0013404
herzinsuffizienz,C0018801,dyspnoe,C0013404
herzinsuffizienz,C0018801,tachypnoe,C0231835
herzinsuffizienz,C0018801,orthopnoe,C0085619
herzinsuffizienz,C0018801,asthma cardiale,C1956414
herzinsuffizienz,C0018801,naechtlicher husten,C0231912
herzinsuffizienz,C0018801,lungenoedem,C0034063
herzinsuffizienz,C0018801,zyanose,C0010520
herzinsuffizienz,C0018801,abgeschlagenheit,C0015672
herzinsuffizienz,C0018801,schwaechegefuehl,C3714552
herzinsuffizienz,C0018801,oedem,C0013604
herzinsuffizienz,C0018801,anaemie,C0002871
herzinsuffizienz,C0018801,appetitlosigkeit,C0003123
herzinsuffizienz,C0018801,meteorismus,C1291077
herzinsuffizienz,C0018801,kachexie,C0006625
herzinsuffizienz,C0018801,proteinurie,C0033687
herzinsuffizienz,C0018801,nykturie,C0028734
herzinsuffizienz,C0018801,sinustachykardie,C0039239
herzinsuffizienz,C0018801,kardiomegalie,C0018800
herzinsuffizienz,C0018801,pleuraerguss,C0032227
hypertrophische kardiomyopathie,C0007194,abgeschlagenheit,C0015672
hypertrophische kardiomyopathie,C0007194,palpitationen,C0030252
hypertrophische kardiomyopathie,C0007194,schwindel,C0012833
hypertrophische kardiomyopathie,C0007194,dyspnoe,C0013404
hypertrophische kardiomyopathie,C0007194,angina pectoris,C0002962
"kardiomyopathie , restriktive",C0007196,herzinsuffizienz,C0018801
"kardiomyopathie , restriktive",C0007196,dyspnoe,C0013404
"kardiomyopathie , restriktive",C0007196,sinustachykardie,C0039239
"kardiomyopathie , restriktive",C0007196,oedem,C0013604
"kardiomyopathie , restriktive",C0007196,leberstauung,C0267821
dilatative kardiomyopathie,C0007193,palpitationen,C0030252
dilatative kardiomyopathie,C0007193,belastungsdyspnoe,C0231807
dilatative kardiomyopathie,C0007193,lungenstauung,C0242073
dilatative kardiomyopathie,C0007193,lungenoedem,C0034063
dilatative kardiomyopathie,C0007193,dyspnoe,C0013404
dilatative kardiomyopathie,C0007193,zyanose peripher,C0235532
dilatative kardiomyopathie,C0007193,mitralklappeninsuffizienz,C0026266
paroxysmale naechtliche haemoglobinurie,C0024790,brauner urin,C1142277
paroxysmale naechtliche haemoglobinurie,C0024790,kopfschmerzen,C0018681
paroxysmale naechtliche haemoglobinurie,C0024790,hypertonie,C0020538
paroxysmale naechtliche haemoglobinurie,C0024790,panzytopenie,C0030312
paroxysmale naechtliche haemoglobinurie,C0024790,blutung,C0019080
paroxysmale naechtliche haemoglobinurie,C0024790,anaemie,C0002871
paroxysmale naechtliche haemoglobinurie,C0024790,haemolyse,C0019054
paroxysmale naechtliche haemoglobinurie,C0024790,zytopenie,C0010828
paroxysmale naechtliche haemoglobinurie,C0024790,haematurie,C0018965
paroxysmale naechtliche haemoglobinurie,C0024790,thrombophilie,C0398623
paroxysmale naechtliche haemoglobinurie,C0024790,dyspnoe,C0013404
paroxysmale naechtliche haemoglobinurie,C0024790,anaemie,C0002871
paroxysmale naechtliche haemoglobinurie,C0024790,haemolyse,C0019054
paroxysmale naechtliche haemoglobinurie,C0024790,thoraxschmerz,C0008031
paroxysmale naechtliche haemoglobinurie,C0024790,uebelkeit,C0027497
paroxysmale naechtliche haemoglobinurie,C0024790,dysphagie,C0011168
paroxysmale naechtliche haemoglobinurie,C0024790,erektile dysfunktion,C0242350
paroxysmale naechtliche haemoglobinurie,C0024790,rueckenschmerzen,C0004604
paroxysmale naechtliche haemoglobinurie,C0024790,kopfschmerzen,C0018681
paroxysmale naechtliche haemoglobinurie,C0024790,muskelschmerzen,C0231528
anaemie kugelzell,C0037889,anaemie,C0002871
anaemie kugelzell,C0037889,blaesse,C0030232
anaemie kugelzell,C0037889,dyspnoe,C0013404
anaemie kugelzell,C0037889,sinustachykardie,C0039239
anaemie kugelzell,C0037889,ikterus,C0022346
anaemie kugelzell,C0037889,splenomegalie,C0038002
anaemie kugelzell,C0037889,cholezystolithiasis,C0947622
anaemie kugelzell,C0037889,bilirubin insgesamt hoch,C0741494
anaemie kugelzell,C0037889,gallensteine,C0008350
myelodysplastisches syndrom nicht klassifizierbar,C1268964,anaemie,C0002871
myelodysplastisches syndrom nicht klassifizierbar,C1268964,schwaeche,C3714552
